"Format Information","Signature Byte Sequences"
"[fmt-293] OpenDocument Presentation 1.2","504B0304{26}6D696D65747970656170706C69636174696F6E2F766E642E6F617369732E6F70656E646F63756D656E742E70726573656E746174696F6E*6F66666963653A76657273696F6E3D22312E3222"
"[fmt-294] OpenDocument Spreadsheet 1.1","504B0304{26}6D696D65747970656170706C69636174696F6E2F766E642E6F617369732E6F70656E646F63756D656E742E7370726561647368656574504B030414*6F66666963653A76657273696F6E3D22312E3122"
"[fmt-295] OpenDocument Spreadsheet 1.2","504B0304{26}6D696D65747970656170706C69636174696F6E2F766E642E6F617369732E6F70656E646F63756D656E742E7370726561647368656574504B030414*6F66666963653A76657273696F6E3D22312E3222"
"[fmt-296] OpenDocument Graphics 1.1","504B0304{26}6D696D65747970656170706C69636174696F6E2F766E642E6F617369732E6F70656E646F63756D656E742E6772617068696373*6F66666963653A76657273696F6E3D22312E3122"
"[fmt-297] OpenDocument Graphics 1.2","504B0304{26}6D696D65747970656170706C69636174696F6E2F766E642E6F617369732E6F70656E646F63756D656E742E6772617068696373*6F66666963653A76657273696F6E3D22312E3222"
"[fmt-301] Computer Graphics Metafile ASCII 3","42(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}33"
"[fmt-301] Computer Graphics Metafile ASCII 3","42(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}33"
"[fmt-301] Computer Graphics Metafile ASCII 3","62(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}33"
"[fmt-301] Computer Graphics Metafile ASCII 3","62(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}33"
"[fmt-302] Computer Graphics Metafile ASCII 4","42(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}34"
"[fmt-302] Computer Graphics Metafile ASCII 4","42(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}34"
"[fmt-302] Computer Graphics Metafile ASCII 4","62(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}34"
"[fmt-302] Computer Graphics Metafile ASCII 4","62(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}34"
"[fmt-303] Computer Graphics Metafile (Binary) 1","00[20:3F]*10220001"
"[fmt-304] Computer Graphics Metafile (Binary) 2","00[20:3F]*10220002"
"[fmt-305] Computer Graphics Metafile (Binary) 3","00[20:3F]*10220003"
"[fmt-306] Computer Graphics Metafile (Binary) 4","00[20:3F]*10220004"
"[fmt-307] Quicken Interchange Format 4","21547970653A*5E"
"[fmt-309] Open Financial Exchange 1.02","4F46584845414445523A313030{0-2}444154413A*56455253494F4E3A313032{0-2}53454355524954593A*454E434F44494E473A*434841525345543A*434F4D5052455353494F4E3A*4F4C4446494C455549443A*4E455746494C455549443A"
"[fmt-310] Open Financial Exchange 1.03","4F46584845414445523A313030{0-2}444154413A*56455253494F4E3A313033{0-2}53454355524954593A*454E434F44494E473A*434841525345543A*434F4D5052455353494F4E3A*4F4C4446494C455549443A*4E455746494C455549443A"
"[fmt-311] Open Financial Exchange 1.6","4F46584845414445523A3130300D0A444154413A*0D0A56455253494F4E3A3136300D0A53454355524954593A*0D0A454E434F44494E473A*0D0A434841525345543A*0D0A434F4D5052455353494F4E3A*0D0A4F4C4446494C455549443A*0D0A4E455746494C455549443A"
"[fmt-312] Open Financial Exchange 2.0.3","4F46584845414445523D(22|27)323030(22|27)0D0A56455253494F4E3D(22|27)323033(22|27)0D0A53454355524954593D(22|27)*(22|27)0D0A4F4C4446494C455549443D(22|27)*(22|27)0D0A4E455746494C455549443D"
"[fmt-313] Open Financial Exchange 2.1.1","4F46584845414445523D(22|27)323030(22|27)0D0A56455253494F4E3D(22|27)323131(22|27)0D0A53454355524954593D(22|27)*(22|27)0D0A4F4C4446494C455549443D(22|27)*(22|27)0D0A4E455746494C455549443D"
"[fmt-320] ESRI Shapefile Projection (Well-Known Text) Format R11/12","47454F474353*444154554D*53504845524F4944*5052494D454D*554E4954"
"[fmt-328] EndNote Import File R11/12","254120[41:5A]*(0A|0A0D)25(44|54)20([30:39]|[41:5A])"
"[fmt-328] EndNote Import File R11/12","2541[41:5A]*(0A|0A0D)25(44|54)([30:39]|[41:5A])"
"[fmt-354] Acrobat PDF/A - Portable Document Format 1b","786D6C6E733A7064666169643D(22|27)687474703A2F2F7777772E6169696D2E6F72672F706466612F6E732F6964*7064666169643A70617274(3D22|3D27|3E)31(22|27|3C2F7064666169643A706172743E){0-13}7064666169643A636F6E666F726D616E6365(3E|3D22|3D27)42(22|27|3C2F7064666169643A636F6E666F726D616E63653E)"
"[fmt-354] Acrobat PDF/A - Portable Document Format 1b","786D6C6E733A7064666169643D(22|27)687474703A2F2F7777772E6169696D2E6F72672F706466612F6E732F6964*7064666169643A636F6E666F726D616E6365(3E|3D22|3D27)42(22|27|3C2F7064666169643A636F6E666F726D616E63653E){0-20}7064666169643A70617274(3D22|3D27|3E)31(22|27|3C2F7064666169643A706172743E)"
"[fmt-355] Rich Text Format 1.9","7B5C7274(66|6631){0-15}(616E7369|6D6163|7063|706361)5C616E7369637067{3-*}5C737473686664626368{1-5}5C73747368666C6F6368{1-5}5C737473686668696368{1-5}5C73747368666269{0-64000}(7B5C2A5C636F6C6F72736368656D656D617070696E67|5C6166656C6576|7B5C2A5C6461746173746F7265|7B5C2A5C646566636870)"
"[fmt-358] Internet Data Query File 1.9","5B51756572795D*(43|63)69(53|73)636F70653D"
"[fmt-358] Internet Data Query File 1.9","5B51756572795D*(43|63)69(43|63)6F6C756D6E733D"
"[fmt-358] Internet Data Query File 1.9","5B51756572795D*(43|63)69(54|74)656D706C6174653D2F"
"[fmt-358] Internet Data Query File 1.9","5B51756572795D*(43|63)69(52|72)65737472696374696F6E3D{0-1}25"
"[fmt-361] pulse EKKO header file 2004-2005","4E554D424552204F46205452414345532020203D20[30:39]{3-*}4E554D424552204F46205054532F54524320203D20[30:39]"
"[fmt-385] Microsoft Windows Cursor 2.0","00000200[01:09]00{3}00{1}00{1}00{3}00*000028000000{2}0000{2}00000100[01:20]0000000000"
"[fmt-386] Microsoft Animated Cursor Format 2.0","52494646{4}41434F4E{0-*}616E69682400000024000000[!00]*4C495354{4}6672616D69636F6E"
"[fmt-387] VCalendar format 2.0","424547494E3A5643414C454E444152*56455253494F4E{0-2}3A312E30"
"[fmt-388] Internet Calendar and Scheduling format 2.0","424547494E3A5643414C454E444152*56455253494F4E{0-2}3A322E30"
"[fmt-389] Log ASCII Standard Format 1.2","7E56*564552532E*312E32{0-1}3A{0-3}43574C5320(4C4F47204153434949205354414E44415244|4C6F67204153434949205374616E64617264|4C4153){1-3}56(455253494F4E|657273696F6E)20312E32*7E57*7E43*7E41"
"[fmt-390] Log ASCII Standard Format 2.0","7E56*564552532E*322E*(4C4153|43574C53)20(4C4F47204153434949205354414E44415244|4C6F67204153434949205374616E64617264|6C6F67204153434949205374616E64617264|4C4153){1-3}56(455253494F4E|657273696F6E)20322E[30:31]*7E57*7E43*7E41"
"[fmt-391] Log ASCII Standard Format 3.0","7E56(455253494F4E|657273696F6E)*564552532E*332E30{0-1}3A{0-3}43574C5320(4C4F47204153434949205354414E44415244|4C4153){1-3}56455253494F4E20332E30*7E57(454C4C|656C6C)"
"[fmt-405] Portable Any Map 4","5037*5749445448{3-256}454E44484452"
"[fmt-410] Internet Archive 1.1","66696C65646573633A2F2F{1-132}20{1-3}2E{1-3}2E{1-3}2E{1-3}20{14}20746578742F706C61696E20{1-16}0A31203120*0A55524C2049502D6164647265737320417263686976652D6461746520436F6E74656E742D7479706520417263686976652D6C656E677468"
"[fmt-413] Scalable Vector Graphics Tiny 1.2","3C3F786D6C2076657273696F6E3D22312E3022*3C737667{0-512}76657273696F6E3D22312E3222*7376673E"
"[fmt-433] Drawing Interchange File Format (ASCII) 2007/2008/2009","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143313032310D0A*300D0A454E445345430D0A"
"[fmt-435] Drawing Interchange File Format (ASCII) 2010/2011/2012","30{1-2}53454354494F4E{1-2}202032{1-2}484541444552{1-2}*39{1-2}2441434144564552{1-2}202031{1-2}414331303234{1-2}*30{1-2}454E44534543{1-2}"
"[fmt-455] Verity Collection Index Pending Transaction File 2009","4C415354204C4F47434845434B2022{24}220A4C41535420434C45414E20{0-1}22{24}220A4C415354204F5054494D495A4520{0-1}22*220A"
"[fmt-476] Acrobat PDF/A - Portable Document Format 2a","786D6C6E733A7064666169643D(22|27)687474703A2F2F7777772E6169696D2E6F72672F706466612F6E732F6964*7064666169643A70617274(3D22|3D27|3E)32(22|27|3C2F7064666169643A706172743E){0-11}7064666169643A636F6E666F726D616E6365(3E|3D22|3D27)41(22|27|3C2F7064666169643A636F6E666F726D616E63653E)"
"[fmt-477] Acrobat PDF/A - Portable Document Format 2b","786D6C6E733A7064666169643D(22|27)687474703A2F2F7777772E6169696D2E6F72672F706466612F6E732F6964*7064666169643A70617274(3D22|3D27|3E)32(22|27|3C2F7064666169643A706172743E){0-11}7064666169643A636F6E666F726D616E6365(3E|3D22|3D27)42(22|27|3C2F7064666169643A636F6E666F726D616E63653E)"
"[fmt-478] Acrobat PDF/A - Portable Document Format 2u","786D6C6E733A7064666169643D(22|27)687474703A2F2F7777772E6169696D2E6F72672F706466612F6E732F6964*7064666169643A70617274(3D22|3D27|3E)32(22|27|3C2F7064666169643A706172743E){0-11}7064666169643A636F6E666F726D616E6365(3E|3D22|3D27)55(22|27|3C2F7064666169643A636F6E666F726D616E63653E)"
"[fmt-479] Acrobat PDF/A - Portable Document Format 3a","786D6C6E733A7064666169643D(22|27)687474703A2F2F7777772E6169696D2E6F72672F706466612F6E732F6964*7064666169643A70617274(3D22|3D27|3E)33(22|27|3C2F7064666169643A706172743E){0-11}7064666169643A636F6E666F726D616E6365(3E|3D22|3D27)41(22|27|3C2F7064666169643A636F6E666F726D616E63653E)"
"[fmt-480] Acrobat PDF/A - Portable Document Format 3b","786D6C6E733A7064666169643D(22|27)687474703A2F2F7777772E6169696D2E6F72672F706466612F6E732F6964*7064666169643A70617274(3D22|3D27|3E)33(22|27|3C2F7064666169643A706172743E){0-11}7064666169643A636F6E666F726D616E6365(3E|3D22|3D27)42(22|27|3C2F7064666169643A636F6E666F726D616E63653E)"
"[fmt-481] Acrobat PDF/A - Portable Document Format 3u","786D6C6E733A7064666169643D(22|27)687474703A2F2F7777772E6169696D2E6F72672F706466612F6E732F6964*7064666169643A70617274(3D22|3D27|3E)33(22|27|3C2F7064666169643A706172743E){0-11}7064666169643A636F6E666F726D616E6365(3E|3D22|3D27)55(22|27|3C2F7064666169643A636F6E666F726D616E63653E)"
"[fmt-5] Audio/Video Interleaved Format 3u","52494646{4}41564920*4C495354{4}6864726C61766968*4C495354{4}6D6F7669"
"[fmt-52] Rich Text Format 1.7","7B5C7274(66|6631)5C(616E7369|6D6163|7063|706361)5C616E7369637067{3-*}5C737473686664626368{1-4}5C73747368666C6F6368{1-4}5C737473686668696368{1-4}5C73747368666269"
"[fmt-527] Broadcast WAVE 2 Generic","52494646{4}57415645*62657874{350}0200"
"[fmt-53] Rich Text Format 1.8","7B5C7274(66|6631){0-15}(616E7369|6D6163|7063|706361)5C616E7369637067{3-*}5C737473686664626368{1-4}5C73747368666C6F6368{1-4}5C737473686668696368{1-4}5C73747368666269*5C6C73647374696D6178"
"[fmt-532] Drawing Interchange File Format (ASCII) 2013/2014","30{1-2}53454354494F4E{1-2}202032{1-2}484541444552{1}*39{1-2}2441434144564552{1-2}202031{1-2}414331303237{1}*30{1-2}454E44534543"
"[fmt-6] Waveform Audio 1.0","52494646{4}57415645*666D7420{18-*}64617461"
"[fmt-63] Drawing Interchange File Format (ASCII) Generic","300D0A53454354494F4E0D0A{0-5}320D0A*300D0A454E445345430D0A"
"[fmt-63] Drawing Interchange File Format (ASCII) Generic","300D53454354494F4E0D{0-2}320D*300D454E445345430D"
"[fmt-64] Drawing Interchange File Format (ASCII) 1.0","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4D43302E300D0A*300D0A454E445345430D0A"
"[fmt-645] Exchangeable Image File Format (Compressed) 2.2.1","FFD8FFE1{2}4578696600004D4D002A*900000070000000430323231"
"[fmt-645] Exchangeable Image File Format (Compressed) 2.2.1","FFD8FFE1{2}45786966000049492A00*009007000400000030323231"
"[fmt-65] Drawing Interchange File Format (ASCII) 1.2","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143312E320D0A*300D0A454E445345430D0A"
"[fmt-66] Drawing Interchange File Format (ASCII) 1.3","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143312E330D0A*300D0A454E445345430D0A"
"[fmt-67] Drawing Interchange File Format (ASCII) 1.4","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143312E34300D0A*300D0A454E445345430D0A"
"[fmt-68] Drawing Interchange File Format (ASCII) 2.0","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143312E35300D0A*300D0A454E445345430D0A"
"[fmt-69] Drawing Interchange File Format (ASCII) 2.1","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143322E31300D0A*300D0A454E445345430D0A"
"[fmt-70] Drawing Interchange File Format (ASCII) 2.2","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143(322E3231|322E3232|31303031)0D0A*300D0A454E445345430D0A"
"[fmt-703] Broadcast WAVE 0 PCM Encoding","52494646{4}57415645*62657874{350}0000*666D7420{4}0100"
"[fmt-703] Broadcast WAVE 0 PCM Encoding","52494646{4}57415645*666D7420{4}0100*62657874{350}0000"
"[fmt-704] Broadcast WAVE 1 PCM Encoding","52494646{4}57415645*62657874{350}0100*666D7420{4}0100"
"[fmt-704] Broadcast WAVE 1 PCM Encoding","52494646{4}57415645*666D7420{4}0100*62657874{350}0100"
"[fmt-705] Broadcast WAVE 2 PCM Encoding","52494646{4}57415645*62657874{350}0200*666D7420{4}0100"
"[fmt-705] Broadcast WAVE 2 PCM Encoding","52494646{4}57415645*666D7420{4}0100*62657874{350}0200"
"[fmt-706] Broadcast WAVE 0 MPEG Encoding","52494646{4}57415645*62657874{350}0000*666D7420{4}5000"
"[fmt-706] Broadcast WAVE 0 MPEG Encoding","52494646{4}57415645*666D7420{4}5000*62657874{350}0000"
"[fmt-707] Broadcast WAVE 1 MPEG Encoding","52494646{4}57415645*62657874{350}0100*666D7420{4}5000"
"[fmt-707] Broadcast WAVE 1 MPEG Encoding","52494646{4}57415645*666D7420{4}5000*62657874{350}0100"
"[fmt-708] Broadcast WAVE 2 MPEG Encoding","52494646{4}57415645*62657874{350}0200*666D7420{4}5000"
"[fmt-708] Broadcast WAVE 2 MPEG Encoding","52494646{4}57415645*666D7420{4}5000*62657874{350}0200"
"[fmt-709] Broadcast WAVE 0 WAVEFORMATEXTENSIBLE Encoding","52494646{4}57415645*666D7420{4}FEFF*62657874{350}0000"
"[fmt-709] Broadcast WAVE 0 WAVEFORMATEXTENSIBLE Encoding","52494646{4}57415645*62657874{350}0000*666D7420{4}FEFF"
"[fmt-71] Drawing Interchange File Format (ASCII) 2.5","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143313030320D0A*300D0A454E445345430D0A"
"[fmt-710] Broadcast WAVE 1 WAVEFORMATEXTENSIBLE Encoding","52494646{4}57415645*666D7420{4}FEFF*62657874{350}0100"
"[fmt-710] Broadcast WAVE 1 WAVEFORMATEXTENSIBLE Encoding","52494646{4}57415645*62657874{350}0100*666D7420{4}FEFF"
"[fmt-711] Broadcast WAVE 2 WAVEFORMATEXTENSIBLE Encoding","52494646{4}57415645*666D7420{4}FEFF*62657874{350}0200"
"[fmt-711] Broadcast WAVE 2 WAVEFORMATEXTENSIBLE Encoding","52494646{4}57415645*62657874{350}0200*666D7420{4}FEFF"
"[fmt-713] RF64 Multichannel Broadcast Wave format 2 WAVEFORMATEXTENSIBLE Encoding","52463634FFFFFFFF5741564564733634*62657874"
