"Format Information","Signature Byte Sequences"
"[x-fmt-142] Computer Graphics Metafile ASCII 1","42(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}31"
"[x-fmt-142] Computer Graphics Metafile ASCII 1","42(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}31"
"[x-fmt-142] Computer Graphics Metafile ASCII 1","62(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}31"
"[x-fmt-142] Computer Graphics Metafile ASCII 1","62(45|65)(47|67)(4D|6D)(46|66)*(4D|6D)(46|66)(56|76)(65|45)(52|72)(53|73)(49|69)(4F|6F)(4E|6E){1}31"
"[x-fmt-191] AMI Professional Document 5.x","5B7665725D{6}5B7374795D*5B65646F635D"
"[x-fmt-207] X-Windows Bitmap Image X11","23646566696E6520{1-30}5F776964746820{1-16}23646566696E6520{1-30}5F68656967687420{1-300}73746174696320(63686172|756E7369676E65642063686172)20*5F626974735B5D203D207B"
"[x-fmt-208] X-Windows Pixmap Image X10","2F2A2058504D202A2F*0A7374617469632063686172202A20"
"[x-fmt-219] Internet Archive 1.0","66696C65646573633A2F2F{1-132}20{1-3}2E{1-3}2E{1-3}2E{1-3}20{14}20746578742F706C61696E20{1-16}0A31203020*0A55524C2049502D6164647265737320417263686976652D6461746520436F6E74656E742D7479706520417263686976652D6C656E677468"
"[x-fmt-231] ESRI MapInfo Export File 1.0","56(45|65)(52|72)(53|73)(49|69)??(4E|6E){5-6}(43|63)(48|68)(41|61)(52|72)(53|73)(45|65)(54|74)*43(4F|6F)(4C|6C)(55|75)(4D|6D)(4E|6E)(53|73)"
"[x-fmt-231] ESRI MapInfo Export File 1.0","56(45|65)(52|72)(53|73)(49|69)??(4E|6E){5-6}(43|63)(48|68)(41|61)(52|72)(53|73)(45|65)(54|74)*63(4F|6F)(4C|6C)(55|75)(4D|6D)(4E|6E)(53|73)"
"[x-fmt-231] ESRI MapInfo Export File 1.0","76(45|65)(52|72)(53|73)(49|69)??(4E|6E){5-6}(43|63)(48|68)(41|61)(52|72)(53|73)(45|65)(54|74)*43(4F|6F)(4C|6C)(55|75)(4D|6D)(4E|6E)(53|73)"
"[x-fmt-231] ESRI MapInfo Export File 1.0","76(45|65)(52|72)(53|73)(49|69)??(4E|6E){5-6}(43|63)(48|68)(41|61)(52|72)(53|73)(45|65)(54|74)*63(4F|6F)(4C|6C)(55|75)(4D|6D)(4E|6E)(53|73)"
"[x-fmt-299] X-Windows Bitmap Image X10","23646566696E6520{1-30}5F776964746820{1-16}23646566696E6520{1-30}5F68656967687420*73746174696320756E7369676E65642073686F727420{1-30}5F626974735B5D203D207B"
"[x-fmt-384] Quicktime 1","6D646174*6D6F6F76{0-4096}(6D766864|636D6F76|726D7261)"
"[x-fmt-384] Quicktime 1","636D6F76*6D6F6F76{0-4096}(6D766864|636D6F76|726D7261)"
"[x-fmt-384] Quicktime 1","6674797071742020*6D6F6F76{0-4096}(6D766864|636D6F76|726D7261)"
"[x-fmt-384] Quicktime 1","706E6F74*6D6F6F76{0-4096}(6D766864|636D6F76|726D7261)"
"[x-fmt-384] Quicktime 1","736B6970*6D6F6F76{0-4096}(6D766864|636D6F76|726D7261)"
"[x-fmt-384] Quicktime 1","66726565*6D6F6F76{0-4096}(6D766864|636D6F76|726D7261)"
"[x-fmt-384] Quicktime 1","77696465*6D6F6F76{0-4096}(6D766864|636D6F76|726D7261)"
"[x-fmt-389] Exchangeable Image File Format (Audio) 2.1","52494646{4}57415645*666D7420{4}(01|07|11)00*4C495354{4}6578696665766572{4}30323130*64617461"
"[x-fmt-390] Exchangeable Image File Format (Compressed) 2.1","FFD8FFE1{2}4578696600004D4D002A*900000070000000430323130"
"[x-fmt-390] Exchangeable Image File Format (Compressed) 2.1","FFD8FFE1{2}45786966000049492A00*009007000400000030323130"
"[x-fmt-391] Exchangeable Image File Format (Compressed) 2.2","FFD8FFE1{2}4578696600004D4D002A*900000070000000430323230"
"[x-fmt-391] Exchangeable Image File Format (Compressed) 2.2","FFD8FFE1{2}45786966000049492A00*009007000400000030323230"
"[x-fmt-396] Exchangeable Image File Format (Audio) 2.2","52494646{4}57415645*666D7420{4}(01|07|11)00*4C495354{4}6578696665766572{4}30323230*64617461"
"[x-fmt-397] Exchangeable Image File Format (Audio) 2.0","52494646{4}57415645*666D7420{4}(01|07|11)00*4C495354{4}6578696665766572{4}30323030*64617461"
"[x-fmt-398] Exchangeable Image File Format (Compressed) 2.0","FFD8FFE1{2}4578696600004D4D002A*900000070000000430323030"
"[x-fmt-398] Exchangeable Image File Format (Compressed) 2.0","FFD8FFE1{2}45786966000049492A00*009007000400000030323030"
"[x-fmt-410] Windows New Executable 3.0","4D5A*4E45"
"[x-fmt-411] Windows Portable Executable 3.0","4D5A*50450000"
"[x-fmt-412] Java Archive Format 3.0","504B0304*4D4554412D494E462F4D414E49464553542E4D46"
"[x-fmt-418] Icon file format 3.0","00000100[01:09]00{3}00[00:01]00{1}00{3}00*000028000000{2}0000{2}00000100[01:20]0000000000"
"[x-fmt-429] Microsoft Web Archive 3.0","46726F6D3A{2-100}5375626A6563743A*446174653A*4D494D45??56657273696F6E3A*436F6E74656E74??547970653A??6D756C7469706172742F72656C617465643B"
"[x-fmt-438] CATIA 5","56355F434656320000*2E4341544D6174657269616C"
"[x-fmt-439] CATIA Model (Part Description) 5","56355F434656320000*2E43415450617274"
"[x-fmt-440] CATIA Product Description 5","56355F434656320000*2E43415450726F64756374"
